ID_COTA;CODIGO_GRUPO;CODIGO_COTA;VERSAO;NUMERO_CONTRATO;CODIGO_PLANO_VENDA;NOME_PLANO_VENDA;SEGMENTO;VL_BEM_ADESAO;VL_BEM_ATUAL;CODIGO_BEM;DESCRICAO_BEM;DT_VENDA;DT_ADESAO;DT_CADASTRO;DT_PAGTO_PRIMEIRA_PARCELA;UF_CLIENTE;SITUACAO_GRUPO;DATA_CANCELAMENTO;CODIGO_REPRESENTANTE;CGC_CPF_REPRESENTANTE;Representante;CODIGO_EQUIPE;Equipe;CODIGO_FILIAL_VENDA;Filial;QTD_Parcela_Paga;COBRANCA_QT_PC_ATRASO;COBRANCA_QT_DIAS_ATRASO;COBRANCA_VALOR_COBRANCA;COBRANCA_VALOR_FUNDO_COMUM;COBRANCA_VALOR_TAXA_ADM;COBRANCA_VALOR_FUNDO_RESERVA;COBRANCA_VALOR_SEGURO_VIDA;COBRANCA_VALOR_MULTA;COBRANCA_DATA_SITUACAO;COBRANCA_CODIGO_SITUACAO;CONTEMPLACAO_DATA_CONTEMPLACAO;CONTEMPLACAO_PERCENTUAL_LANCE;CONTEMPLACAO_PARCELAS_LANCE;CONTEMPLACAO_MODALIDADE;CONTEMPLACAO_DESCRICAO_MODALIDADE;CONTEMPLACAO_LANCE_QUITACAO;CONTEMPLACAO_VALOR_LANCE;CONTEMPLACAO_VALOR_CREDITO;MOTIVO_CANCELAMENTO;DT_MTVO_CANCE;VALOR_FUNDO_COMUM_PAGO;VALOR_FUNDO_RESERVA_PAGO;VALOR_JUROS_PAGO;VALOR_TAXA_ADMINISTRACAO_PAGO;VALOR_SEGURO_PAGO;PERCENTUAL_TAXA_ADMINISTRACAO_TOTAL;PERCENTUAL_FUNDO_RESERVA_TOTAL;TIPO_REP;DT_CONTABILIZACAO_PARC1;Prazo_Cota
418913;1035;58;5;22072716;912;TAB AUTOS - WL 912/913;AUTOMOVEIS;26880,92;28319,05;3200;CRÉDITO AUTO 25;29/01/2025;29/01/2025;29/01/2025;;PR;ANDAMENTO;25/02/2025;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;;0;0;561,96;119,11;413,97;9,11;19,77;0;25/02/2025 00:00;E00;;;;;;;;;1PARCELA SEM PAGAMENTO;25/02/2025 10:03;;;;;;;;GFT - WHITE LABEL;;59
427950;903;58;0;22081109;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;CE;ANDAMENTO;;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;11;;;;;;;;;13/06/2025 00:00;N00;;;;;;;;;;;2872,9;229,12;0,34;2489,65;121;17;5;GFT - WHITE LABEL;;60
427956;903;62;1;22081115;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;CE;ANDAMENTO;29/08/2025;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;2;0;0;519,33;102,5;385;20,83;11;0;29/08/2025 00:00;E00;;;;;;;;;PARCELAS EM ATRASO;29/08/2025 00:00;205;41,65;0,51;770;22;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
427963;903;63;1;22081122;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;AM;ANDAMENTO;31/07/2025;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;1;0;0;519,33;102,5;385;20,83;11;0;31/07/2025 00:00;E00;;;;;;;;;PARCELAS EM ATRASO;31/07/2025 00:00;102,5;20,82;0;385;11;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
427971;903;67;0;22081130;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;SC;ANDAMENTO;;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;10;;;;;;;;;28/03/2025 00:00;N00;;;;;;;;;;;2421,32;208,29;0;2453,72;110;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
427980;903;69;1;22081139;943;TAB 1 SERVIÇO - WL;SERVIÇOS;50000;50000;9068;SERVIÇOS 50;28/03/2025;28/03/2025;28/03/2025;01/04/2025;PB;ANDAMENTO;31/07/2025;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;1;0;0;1038,64;205;770;41,65;21,99;0;31/07/2025 00:00;E00;;;;;;;;;PARCELAS EM ATRASO;31/07/2025 00:00;205;41,65;0;770;21,99;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
427982;903;72;1;22081141;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;AL;ANDAMENTO;31/07/2025;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;1;0;0;519,33;102,5;385;20,83;11;0;31/07/2025 00:00;E00;;;;;;;;;PARCELAS EM ATRASO;31/07/2025 00:00;102,5;20,82;0;385;11;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
427990;903;76;1;22081149;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;CE;ANDAMENTO;30/12/2025;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;6;0;0;519,17;451,58;35,76;20,83;11;0;30/12/2025 00:00;E00;;;;;;;;;PARCELAS EM ATRASO;30/12/2025 00:00;615,05;124,96;8,46;2310,19;66;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
428002;903;82;0;22081161;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;31/03/2025;CE;ANDAMENTO;;003044;17278571000195;GFT PROMOTORA DE VENDAS LTDA;3044;GFT PROMOTORA - GFT;18;SANDRO;10;;;;;;;;;28/03/2025 00:00;N00;;;;;;;;;;;2421,32;208,29;0;2453,72;110;17;5;GFT - WHITE LABEL;01/04/2025 00:00;60
428011;903;89;0;22081170;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;31/03/2025;CE;ANDAMENTO;;003044;17278571000195;GFT PROMOTORA DE VENDAS LTDA;3044;GFT PROMOTORA - GFT;18;SANDRO;10;;;;;;;;;12/08/2025 00:00;N00;;;;;;;;;;;2421,32;208,29;0;2453,72;110;17;5;GFT - WHITE LABEL;01/04/2025 00:00;60
429023;903;104;1;22082063;943;TAB 1 SERVIÇO - WL;SERVIÇOS;50000;50000;9068;SERVIÇOS 50;03/04/2025;03/04/2025;03/04/2025;04/04/2025;CE;ANDAMENTO;05/06/2025;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;1;0;0;1038,64;205;770;41,65;21,99;0;05/06/2025 00:00;E00;;;;;;;;;SOLICITACAO CONSORCIADO;05/06/2025 00:00;184,5;41,65;0;790,5;21,99;17;5;GFT - WHITE LABEL;07/04/2025 00:00;60
431823;1046;1320;1;22084506;928;TAB AUTOS REDUZ - WL 928;AUTOMOVEIS;46000;46000;3553;CREDITO AUTO 46;17/04/2025;17/04/2025;17/04/2025;17/04/2025;RO;ANDAMENTO;21/10/2025;003095;49552580000119;CAPITAL PRIME CORRETORA CONSORCIOS LTDA;3095;CAPITAL PRIME - GFT;18;SANDRO;4;0;0;364,08;23,18;314,82;5,52;20,56;0;21/10/2025 00:00;E00;;;;;;;;;SOLICITACAO CONSORCIADO;21/10/2025 00:00;92,72;22,08;0;1259,33;82,24;22;2;GFT - DISTRATO SUPORTE;22/04/2025 00:00;83
427922;903;36;0;22081082;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;CE;ANDAMENTO;;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;10;;;;;;;;;19/01/2026 00:00;N00;;;;;;;;;;;2421,32;208,29;6,61;2453,72;110;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
427940;903;54;0;22081099;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;31/03/2025;CE;ANDAMENTO;;003044;17278571000195;GFT PROMOTORA DE VENDAS LTDA;3044;GFT PROMOTORA - GFT;18;SANDRO;34;;;;;;;;;28/03/2025 00:00;N00;19/05/2025;50;30;LL;Lance Livre;NÃO;12500;25000;;;13532,1;721,29;0;3337,77;110;17;5;GFT - WHITE LABEL;01/04/2025 00:00;60
427942;903;53;0;22081101;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;CE;ANDAMENTO;;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;10;;;;;;;;;15/07/2025 00:00;N00;;;;;;;;;;;2421,32;208,29;0,68;2453,73;110;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
427944;903;56;0;22081103;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;CE;ANDAMENTO;;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;10;;;;;;;;;15/07/2025 00:00;N00;;;;;;;;;;;2421,32;208,29;0,68;2453,73;110;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
427945;903;57;0;22081104;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;31/03/2025;CE;ANDAMENTO;;003044;17278571000195;GFT PROMOTORA DE VENDAS LTDA;3044;GFT PROMOTORA - GFT;18;SANDRO;10;;;;;;;;;28/03/2025 00:00;N00;;;;;;;;;;;2421,32;208,29;0;2453,72;110;17;5;GFT - WHITE LABEL;01/04/2025 00:00;60
427968;903;65;0;22081127;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;31/03/2025;CE;ANDAMENTO;;003044;17278571000195;GFT PROMOTORA DE VENDAS LTDA;3044;GFT PROMOTORA - GFT;18;SANDRO;41;;;;;;;;;28/03/2025 00:00;N00;17/07/2025;65;39;LL;Lance Livre;NÃO;16250;25000;;;16865,53;875,05;0;3603,02;110;17;5;GFT - WHITE LABEL;01/04/2025 00:00;60
427994;903;75;0;22081153;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;31/03/2025;CE;ANDAMENTO;;003044;17278571000195;GFT PROMOTORA DE VENDAS LTDA;3044;GFT PROMOTORA - GFT;18;SANDRO;10;;;;;;;;;28/03/2025 00:00;N00;;;;;;;;;;;2421,32;208,29;0;2453,72;110;17;5;GFT - WHITE LABEL;01/04/2025 00:00;60
427997;903;77;1;22081156;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;PB;ANDAMENTO;16/05/2025;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;1;0;0;519,33;102,5;385;20,83;11;0;16/05/2025 00:00;E00;;;;;;;;;SOLICITACAO CONSORCIADO;16/05/2025 00:00;92,25;20,82;0;395,25;11;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
432980;1046;1476;1;22085548;928;TAB AUTOS REDUZ - WL 928;AUTOMOVEIS;40000;40000;3550;CREDITO AUTO 40;25/04/2025;25/04/2025;25/04/2025;28/04/2025;RO;ANDAMENTO;29/08/2025;003095;49552580000119;CAPITAL PRIME CORRETORA CONSORCIOS LTDA;3095;CAPITAL PRIME - GFT;18;SANDRO;1;0;0;316,64;20,16;273,8;4,8;17,88;0;29/08/2025 00:00;E00;;;;;;;;;PARCELAS EM ATRASO;29/08/2025 00:00;20,16;4,8;0;273,8;17,88;22;2;GFT - DISTRATO SUPORTE;29/04/2025 00:00;83
433842;903;112;2;22086341;943;TAB 1 SERVIÇO - WL;SERVIÇOS;30000;30000;9064;SERVIÇOS 30;30/04/2025;30/04/2025;30/04/2025;30/04/2025;PE;ANDAMENTO;18/08/2025;003044;17278571000195;GFT PROMOTORA DE VENDAS LTDA;3044;GFT PROMOTORA - GFT;18;SANDRO;1;0;0;633,53;132,93;462;25,41;13,19;0;18/08/2025 00:00;E00;;;;;;;;;PARCELAS EM ATRASO;18/08/2025 00:00;132,93;25,41;0;462;13,19;17;5;GFT - WHITE LABEL;02/05/2025 00:00;59
434559;1044;808;0;22087022;928;TAB AUTOS REDUZ - WL 928;AUTOMOVEIS;102960;102960;3527;CREDITO AUTO 99;05/05/2025;05/05/2025;05/05/2025;06/05/2025;PI;ANDAMENTO;;003208;55098945000180;LIFEBANK INSTITUICAO DE PAGAMENTOS LTDA;3208;LIFEBANK - GFT;18;SANDRO;10;;;;;;;;;17/12/2025 00:00;N00;;;;;;;;;;;927,43;257,5;1,59;6873,99;446;21;2;GFT - REPRESENTANTE;07/05/2025 00:00;78
435067;1038;331;7;22087478;689;TAB AUTO WL RED FUNCIONARIO;AUTOMOVEIS;54793,76;54793,76;3271;CREDITO AUTO 50;08/05/2025;08/05/2025;08/05/2025;09/05/2025;CE;ANDAMENTO;30/09/2025;003075;17278571000195;GFT PROMOTORA DE VENDAS LTDA - DILSON;3044;GFT PROMOTORA - GFT;18;SANDRO;2;0;0;496,86;238,79;219,17;16,38;22,52;0;30/09/2025 00:00;E00;;;;;;;;;PARCELAS EM ATRASO;30/09/2025 00:00;454,28;31,16;0,45;416,96;42,84;12;2;GFT - WHITE LABEL;12/05/2025 00:00;67
422040;311;114;0;22075717;62;TAB 1 MOTO - TOTAL;MOTOCICLETAS;15769,5;15769,5;9047;CARTA DE CRÉDITO - MOTO15;19/02/2025;19/02/2025;19/02/2025;19/02/2025;PR;ANDAMENTO;;003124;17278571000195;GFT PROMOTORA DE VENDAS LTDA;3044;GFT PROMOTORA - GFT;18;SANDRO;12;;;;;;;;;19/02/2025 00:00;N00;23/06/2025;0;0;SO;Sorteio;NÃO;0;15000;;;1521,53;47,27;0;1437,06;196,82;25;2;GFT - WHITE LABEL;20/02/2025 00:00;78
427941;903;55;0;22081100;;;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;31/03/2025;CE;ANDAMENTO;;003044;17278571000195;GFT PROMOTORA DE VENDAS LTDA;3044;GFT PROMOTORA - GFT;18;SANDRO;46;;;;;;;;;28/03/2025 00:00;N00;19/01/2026;74;41;LL;Lance Livre;NÃO;18500;25000;;;18876,54;967,79;0;3763,03;110;17;5;GFT - WHITE LABEL;01/04/2025 00:00;60
427966;903;59;1;22081125;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;CE;ANDAMENTO;30/09/2025;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;3;0;0;519,33;102,5;385;20,83;11;0;30/09/2025 00:00;E00;;;;;;;;;PARCELAS EM ATRASO;30/09/2025 00:00;307,5;62,48;1,87;1155;33;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
427972;903;68;0;22081131;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;01/04/2025;SC;ANDAMENTO;;003045;17278571000195;GFT PROMOTORA DE VENDAS LTDA -VENDAS;3044;GFT PROMOTORA - GFT;18;SANDRO;10;;;;;;;;;28/03/2025 00:00;N00;;;;;;;;;;;2421,32;208,29;0;2453,72;110;17;5;GFT - WHITE LABEL;02/04/2025 00:00;60
428005;903;84;0;22081164;943;TAB 1 SERVIÇO - WL;SERVIÇOS;25000;25000;9063;SERVIÇOS 25;28/03/2025;28/03/2025;28/03/2025;31/03/2025;CE;ANDAMENTO;;003044;17278571000195;GFT PROMOTORA DE VENDAS LTDA;3044;GFT PROMOTORA - GFT;18;SANDRO;10;;;;;;;;;28/03/2025 00:00;N00;;;;;;;;;;;2421,32;208,29;0;2453,72;110;17;5;GFT - WHITE LABEL;01/04/2025 00:00;60
